# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.8314390832717273,1.6347999780078286,-0.1652516430980959,0,3.0,-0.4885723281355285,0.0,0.0,0.0
 0.08907355148381801,1.8433401801326825,1.6347656529444303,-0.1652516430980959,0.2672206544514541,3.0000000000000004,-0.4885723281355285,0.0,-9.050953548323683,0.0
 0.1257596794649938,1.8551618339466398,1.6346630448672133,-0.4972960833235757,0.37727903839498156,3.000000000000002,-0.4943865597790102,0.0,-11.916466542313648,0.0
 0.15376894421929171,1.8669046853833329,1.6344927044456439,-0.8310675496429717,0.4613068326578753,3.000000000000001,-0.5001709981695447,0.0,-14.27697543239477,0.0
 0.17726522512580295,1.878569375112496,1.634255182349188,-1.166523374897879,0.5317956753774091,3.000000000000005,-0.5059209139333622,0.0,-16.364367235375468,0.0
 0.19786460006707215,1.8901565438038628,1.633951029247312,-1.5036191112559991,0.5935938002012168,3.0000000000000013,-0.5116314667206394,0.0,-18.274999246627328,0.0
 0.21639753708308448,1.901666832127167,1.6335807958094823,-1.842308521261416,0.6491926112492538,3.0,-0.5172977095284831,0.0,-20.060048604797124,0.0
 0.23335836586780104,1.9131008807521424,1.6331450327051655,-2.1825435710604726,0.7000750976034034,2.999999999999997,-0.5229145934732087,0.0,-21.750410623051152,0.0
 0.24906983268954758,1.9244593303485231,1.6326442906038272,-2.5242744259239043,0.747209498068643,3.0000000000000018,-0.5284769731709532,0.0,-23.36628791956453,0.0
 0.2637565909525269,1.9357428215860428,1.6320791201749343,-2.8674494481017225,0.7912697728575809,2.999999999999996,-0.5339796124043854,0.0,-24.92162826275306,0.0
 0.27758256353457295,1.9469519951344358,1.6314500720879526,-3.21201519716249,0.832747690603719,2.999999999999996,-0.5394171902070806,0.0,-26.42644042376935,0.0
 0.2906717738138398,1.9580874916634352,1.6307576970123487,-3.5579164328017248,0.8720153214415195,2.9999999999999956,-0.5447843075052556,0.0,-27.88811100840109,0.0
 0.3031207950963544,1.9691499518427753,1.6300025456175886,-3.9050961202744405,0.9093623852890634,3.0000000000000044,-0.5500754940734565,0.0,-29.312203445060735,0.0
 0.3150066063701503,1.9801400163421898,1.6291851685731387,-4.253495438441543,0.9450198191104511,2.999999999999995,-0.5552852158251201,0.0,-30.702968183747377,0.0
 0.3263917711533492,1.991058325831413,1.6283061165484656,-4.603053790546819,0.9791753134600477,2.999999999999995,-0.560407882801654,0.0,-32.063682257902265,0.0
 0.3373279769321316,2.001905520980178,1.6273659402130352,-4.953708817744733,1.011983930796395,3.0,-0.5654378571943466,0.0,-33.39688318478893,0.0
 0.34785852841260134,2.012682242458219,1.6263651902363139,-5.305396415409386,1.0435755852378041,3.0000000000000053,-0.5703694619230161,0.0,-34.70453485027058,0.0
 0.3580201496076699,2.0233891309352705,1.625304417287768,-5.658050752308892,1.0740604488230099,3.0,-0.5751969896104531,0.0,-35.98814814166438,0.0
 0.36784431557826097,2.0340268270810653,1.6241841720368635,-6.011604292626821,1.1035329467347832,3.000000000000017,-0.5799147117196956,0.0,-37.248870627087626,0.0
 0.3773582557937186,2.0445959715653377,1.6230050051530673,-6.365987820866249,1.132074767381156,2.9999999999999827,-0.584516888221053,0.0,-38.487554542238655,0.0
 0.38658572303704064,2.0550972050578213,1.6217674673058449,-6.721130469680325,1.1597571691111221,3.000000000000012,-0.5889977772784424,0.0,-39.70480923673131,0.0
 0.39554759157915304,2.065531168228251,1.6204721091646632,-7.076959750549562,1.1866427747374593,2.999999999999994,-0.5933516454200607,0.0,-40.901042305448144,0.0
 0.40426232882741936,2.0758985017463596,1.6191194813989884,-7.433401587421767,1.2127869864822582,3.0,-0.5975727778338288,0.0,-42.07649230615417,0.0
 0.4127463717260065,2.086199846281881,1.6177101346782867,-7.79038035316925,1.2382391151780197,3.0000000000000067,-0.6016554888139076,0.0,-43.23125516664564,0.0
 0.42101443043465603,2.0964358425045493,1.6162446196720242,-8.147818908935685,1.2630432913039682,2.9999999999999867,-0.605594132533385,0.0,-44.36530576491356,0.0
 0.42907973577125563,2.106607131084098,1.6147234870496674,-8.505638646281316,1.2872392073137668,2.9999999999999796,-0.6093831137202741,0.0,-45.478515793064346,0.0
 0.43695424265864957,2.1167143526902623,1.6131472874806823,-8.863759532122256,1.3108627279759486,2.999999999999993,-0.6130168986123138,0.0,-46.57066871051311,0.0
 0.44464879878497615,2.126758147992774,1.6115165716345357,-9.22210015635586,1.3339463963549283,2.999999999999993,-0.6164900258214091,0.0,-47.64147241538835,0.0
 0.452173285490431,2.136739157661369,1.6098318901806932,-9.580577782173743,1.3565198564712928,2.9999999999999925,-0.6197971172760579,0.0,-48.69057008356226,0.0
 0.45953673628028413,2.146658022365779,1.6080937937886215,-9.939108398913948,1.3786102088408523,3.000000000000015,-0.6229328891823179,0.0,-49.71754955180559,0.0
 0.4667474371646585,2.1565153827757397,1.606302833127787,-10.29760677743608,1.4002423114939753,2.9999999999999845,-0.625892162762885,0.0,-50.72195150885024,0.0
 0.47381301212358024,2.1663118795609844,1.6044595588676558,-10.655986527884654,1.4214390363707405,3.000000000000008,-0.6286698750091435,0.0,-51.703276714245796,0.0
 0.4807404963103226,2.176048153391246,1.602564521677694,-11.014160159725359,1.4422214889309677,3.0,-0.6312610892027368,0.0,-52.66099242375482,0.0
